estimated_number_of_hours,facility_name,facility_id,industry_segment,pneum_pump_type,pneum_pump_type_total_co2_emm,reporting_year,table_desc,table_num,total_ch4_emissions,total_pneumatic_pump_count
8574.857143,BBOG Gulf Coast Basin #220,1011534,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8.7,2016,NG Driven Pneumatic Pumps emissions,Table C.1,128.84,77
8537.09434,XTO Energy Inc 580 San Juan,1009142,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.2,2015,NG Driven Pneumatic Pumps emissions,Table C.1,387.97,212
5924,"EagleRidge Operating, LLC. Fort Worth Syncline Basin",1011765,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,32.5,2020,NG Driven Pneumatic Pumps emissions,Table C.1,393.47,316
,Seneca East G&B Facilities,1012744,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"ConocoPhillips' Williston, Gathering & Boosting (395)",1012301,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Grizzly Basin 230 (NE TX),1008640,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Basin 375 - BCE-Mach LLC,1013751,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
2190,"Sanguine Gas Exploration, LLC 360 Anadarko Basin Production",1010485,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,25.91,58
,Ponderosa Gathering LLC,1013722,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
1458.142857,Riviera Resources 360 Anadarko Basin Production Segment,1008306,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.3,2018,NG Driven Pneumatic Pumps emissions,Table C.1,13.39,42
8784,"Strike Force South, LLC - Basin 160A",1013785,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.3,2020,NG Driven Pneumatic Pumps emissions,Table C.1,17.1,8
8760,Crescent Pass 260 East Texas Basin,1013896,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,7.3,2020,NG Driven Pneumatic Pumps emissions,Table C.1,154.18,75
,360 Anadarko Basin,1009265,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
4359.2,EQM Olympus Midstream LLC - Basin 160A,1012467,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,31.9,30
,SK Plymouth LLC Anadarko Basin,1011752,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Contango Basin 360,1013580,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.8,2021,NG Driven Pneumatic Pumps emissions,Table C.1,35.87,21
,"PennEnergy Resources, LLC - Basin 160A - Appalachian Eastern Overthrust",1012988,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
,EQT CHAP LLC - Basin 160A - Appalachian Eastern Overthrust,1009098,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
1416,Hilcorp Energy Company - Green River Basin (535),1012706,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3.8,2021,NG Driven Pneumatic Pumps emissions,Table C.1,94.44,322
4380,Berry Petroleum Company 575 Uinta Basin Gathering and Boosting,1012713,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,9.65,10
,"Delaware G&P, LLC G&B 430 - Permian Basin",1012810,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
4380,Williams G&B Facility  Strawn Basin 415,1012232,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,7.5,2018,NG Driven Pneumatic Pumps emissions,Table C.1,115.84,110
6155,"EOG Resources, Inc. 430 Permian basin",1008351,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,6.2,2021,NG Driven Pneumatic Pumps emissions,Table C.1,20.29,19
8760,Red Cedar Gathering San Juan Basin Gathering & Boosting,1012686,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,37.4,2022,NG Driven Pneumatic Pumps emissions,Table C.1,143.7,70
100,Powder River Basin - G&B - AAPG Province 515,1012329,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2020,NG Driven Pneumatic Pumps emissions,Table C.1,0.65,33
8784,Strawn Basin Gathering and Boosting,1012668,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,3.6,2020,NG Driven Pneumatic Pumps emissions,Table C.1,94.08,50
7527.48,ConocoPhillips Permian (430),1007479,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.6,2015,NG Driven Pneumatic Pumps emissions,Table C.1,32.81,21
4380,Caerus Piceance LLC,1008296,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.4,2016,NG Driven Pneumatic Pumps emissions,Table C.1,18.75,19
8784,CNX Gas Company LLC - 160A Appalachian Basin Eastern Overthrust Area - GB,1012729,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,2.5,2020,NG Driven Pneumatic Pumps emissions,Table C.1,43.35,22
,Aethon Energy Operating-260-East Texas Basin,1012511,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Constellation Compressor Station,1013849,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
4380,"Comstock Oil & Gas, LLC",1009907,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2018,NG Driven Pneumatic Pumps emissions,Table C.1,2.19,2
,Liberty Resources Managment LLC 395 Williston Basin,1012021,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
8784,Triumph Anadarko #360 OP,1013337,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,3,2020,NG Driven Pneumatic Pumps emissions,Table C.1,176.24,95
1176,WPX Energy Permian LLC Boosting and Gathering,1012365,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2021,NG Driven Pneumatic Pumps emissions,Table C.1,2.5,11
,"E2 Appalachian Compression, LLC G&B-160-Appalachian Basin",1012753,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Kinder Morgan, Inc. 345 Arkoma Basin",1012566,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,10.1,2018,NG Driven Pneumatic Pumps emissions,Table C.1,126.64,60
8760,XTO Energy Inc 230 Arkla  GB,1012530,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,2.15,1
,"Chesapeake Operating LLC, 260 - East Texas Basin",1008528,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
,430 Permian Basin DEC,1008290,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2019,NG Driven Pneumatic Pumps emissions,Table C.1,,
,SEP Anadarko Basin 360 Gathering,1012953,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,NFG Midstream Trout Run Gathering System,1012322,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2021,NG Driven Pneumatic Pumps emissions,Table C.1,65.19,31
8784,EQT Production - Basin 160A - Appalachian Eastern Overthrust,1010233,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.5,2020,NG Driven Pneumatic Pumps emissions,Table C.1,85.48,44
8630.9,Morningstar Operating LLC  SAN JUAN BASIN 580,1011978,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2018,NG Driven Pneumatic Pumps emissions,Table C.1,162.5,80
8578,Cogent Midstream WesTex 430 Permian G&B,1013311,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.8,2022,NG Driven Pneumatic Pumps emissions,Table C.1,59.18,36
,Aera Energy San Joaquin G and B,1012357,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Marathon Oil Corporation Williston Basin, AAPG Basin 395",1008173,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
8645.6,"Approach Operating, LLC 430 Permian Basin",1008456,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,4.5,2015,NG Driven Pneumatic Pumps emissions,Table C.1,121.4,72
8760,"Kinder Morgan, Inc. 355 Chautauqua Platform",1012597,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.6,2017,NG Driven Pneumatic Pumps emissions,Table C.1,30.81,20
,Jagged Peak Permian Basin (430) Operations,1012542,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Enervest Operating, L.L.C. 160 Appalachian Basin",1009967,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.9,2016,NG Driven Pneumatic Pumps emissions,Table C.1,88.31,47
5970,ConocoPhillips Permian (430),1007479,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.2,2022,NG Driven Pneumatic Pumps emissions,Table C.1,33.46,30
8760,Permian Operations - Shell Exploration & Production Company,1010588,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.3,2017,NG Driven Pneumatic Pumps emissions,Table C.1,7.7,4
,"EOG Resources, Inc. 420 Fort Worth Syncline Basin Gathering & Boosting",1012796,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Whiting Oil and Gas Corporation 430 Permian Basin,1009192,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Chevron MCA 595 Piceance Basin,1009241,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2015,NG Driven Pneumatic Pumps emissions,Table C.1,1.67,1
8733.333333,"Rice Drilling B, LLC - Basin 160A",1011861,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.7,2017,NG Driven Pneumatic Pumps emissions,Table C.1,114.55,52
6570,IBEX Midstream-230-Arkla Basin,1012723,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.6,2022,NG Driven Pneumatic Pumps emissions,Table C.1,8.07,5
8760,Tapstone G&B Wheeler System,1013310,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.3,2019,NG Driven Pneumatic Pumps emissions,Table C.1,60.41,34
7109,"Chesapeake Exploration LLC, 160A - Appalachian Basin (Eastern Overthrust Area)",1008524,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.1,2015,NG Driven Pneumatic Pumps emissions,Table C.1,65.99,41
,"WPX Energy Williston, LLC - 395 Williston basin",1009253,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Repsol Oil & Gas USA, LLC Gathering and Boosting Operations",1012192,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2017,NG Driven Pneumatic Pumps emissions,Table C.1,17.55,8
,EGG 350 South Oklahoma Folded Belt GB,1012491,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Amplify Energy Operation LLC 260 East Texas Basin GB,1012777,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.1,2020,NG Driven Pneumatic Pumps emissions,Table C.1,22.61,11
8462,WTG Hugoton - GB Stevens County #1,1014668,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2019,NG Driven Pneumatic Pumps emissions,Table C.1,1.62,1
8784,Energy Transfer 160A - Appalachian Basin,1012395,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.4,2016,NG Driven Pneumatic Pumps emissions,Table C.1,1126.6,511
8471.4,DE3 Operating LLC - Permian Basin (430) Operations,1013303,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,11.1,2020,NG Driven Pneumatic Pumps emissions,Table C.1,387.41,294
8760,Hilcorp Energy Company - Wind River Basin (530),1012612,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.5,2018,NG Driven Pneumatic Pumps emissions,Table C.1,126.21,64
,Antero Midstream LLC- 160A Basin,1012652,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Newfield.345.Arkoma Basin,1009113,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Mustang Gas Products 360 Anadarko Basin,1012332,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.5,2018,NG Driven Pneumatic Pumps emissions,Table C.1,114.81,54
,Holmes Western Oil Corporation,1011673,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Equal Energy-355-Chautaqua Platform,1010176,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.9,2017,NG Driven Pneumatic Pumps emissions,Table C.1,64.6,41
8499,"Chesapeake Operating LLC, 350 - South Oklahoma Folded Belt",1008529,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.6,2015,NG Driven Pneumatic Pumps emissions,Table C.1,38.57,22
4380,Williams G&B Facility  Gulf Coast Basin 220,1012245,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,5.2,2019,NG Driven Pneumatic Pumps emissions,Table C.1,127.62,150
,Southwestern Production Corp Powder River Basin (515) Operations,1012947,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2021,NG Driven Pneumatic Pumps emissions,Table C.1,,
1444,"EOG Resources, Inc. 507 Central Western Overthrust",1008395,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2020,NG Driven Pneumatic Pumps emissions,Table C.1,0.00E+00,109
8784,XTO Energy Inc 360 Anadarko  GB,1012539,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2016,NG Driven Pneumatic Pumps emissions,Table C.1,13.62,8
,Basin 540 Denver Julesburg  G&B,1012826,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2018,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,Mustang Gas Products 355 Chautauqua Platform,1012340,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.5,2019,NG Driven Pneumatic Pumps emissions,Table C.1,40.57,20
8760,Lindsay Field Office,1011666,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1,2015,NG Driven Pneumatic Pumps emissions,Table C.1,32.3,20
8760,Palo Duro - Anadarko Basin 360,1012638,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,1.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,117.35,63
8760,"DTM Louisiana Gathering, LLC 230 - Arkla Basin GB",1013593,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,30.7,2022,NG Driven Pneumatic Pumps emissions,Table C.1,90.96,46
7218.526316,EP Energy E&P 430 Permian Basin,1007777,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8,2017,NG Driven Pneumatic Pumps emissions,Table C.1,125.25,168
6294.82,"Tanos Exploration II, LLC - Basin 260",1012040,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,9.7,2021,NG Driven Pneumatic Pumps emissions,Table C.1,189.46,131
,"Petro Harvester Operating Co., LLC 395 Williston Basin",1011463,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
7363.356463,"Comstock Oil & Gas-LA, LLC",1009890,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.7,2021,NG Driven Pneumatic Pumps emissions,Table C.1,186.94,108
8076.0962,XTO Energy Inc 345 Arkoma,1009392,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.7,2022,NG Driven Pneumatic Pumps emissions,Table C.1,24.13,13
,Denbury Onshore LLC 395 Williston,1008617,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
8024,"Unbridled Resources, LLC- Basin 360",1011854,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,12,2015,NG Driven Pneumatic Pumps emissions,Table C.1,481.64,304
,Peak Powder River Resources,1011318,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8784,"Uinta Wax Operating, LLC",1012145,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.1,2020,NG Driven Pneumatic Pumps emissions,Table C.1,3.8,2
8760,Houston Counties Oil and Gas Production Facilities,1012030,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,20.8,2016,NG Driven Pneumatic Pumps emissions,Table C.1,208.45,123
8760,"Resolute Natural Resources Company, LLC 430 Permian Basin",1011735,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2015,NG Driven Pneumatic Pumps emissions,Table C.1,1.72,1
8347.123319,ALLP Greenriver Basin,1012251,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,3.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,113.01,58
3624,BREITBURN OPERATING LP-BASIN 535,1010157,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,2.5,2016,NG Driven Pneumatic Pumps emissions,Table C.1,67.38,86
5410,Breitburn Operating LP 430 Permian,1009813,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2022,NG Driven Pneumatic Pumps emissions,Table C.1,0.97,1
,EMP 260 East Texas GB,1012570,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2017,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,DCP Midstream 260 East Texas Basin,1012238,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,2.2,2016,NG Driven Pneumatic Pumps emissions,Table C.1,69.01,28
,Whiting Oil and Gas Corporation 430 Permian Basin,1009192,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
,Pacific Coast Energy Company LP,1004905,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2016,NG Driven Pneumatic Pumps emissions,Table C.1,,
,"Chesapeake Operating LLC, 220 - Gulf Coast Basin",1008526,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2022,NG Driven Pneumatic Pumps emissions,Table C.1,,
6607.5952,XTO Energy Inc 430 Permian,1009390,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,1.7,2022,NG Driven Pneumatic Pumps emissions,Table C.1,61.06,52
8760,Tapstone 360 Anadarko,1012024,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,13.2,2017,NG Driven Pneumatic Pumps emissions,Table C.1,546.36,281
,Dugan Production Corp-San Juan Basin G&B,1012453,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,,2020,NG Driven Pneumatic Pumps emissions,Table C.1,,
8760,"Enervest Operating, L.L.C. 160A Appalachian Basin (Eastern Overthrust area) G&B",1012705,Onshore petroleum and natural gas gathering and boosting [98.230(a)(9)],Natural Gas Driven Pneumatic Pumps,0.00E+00,2016,NG Driven Pneumatic Pumps emissions,Table C.1,127.51,60
8760,CNX Gas Company LLC -160A Appalachian Basin Eastern Overthrust Area,1008783,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,0.8,2018,NG Driven Pneumatic Pumps emissions,Table C.1,156.54,79
,"Petro Harvester Operating Co., LLC 395 Williston Basin",1011463,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,,2015,NG Driven Pneumatic Pumps emissions,Table C.1,,
4380,Riviera Resources 535 Green River Basin Production Segment,1010397,Onshore petroleum and natural gas production [98.230(a)(2)],Natural Gas Driven Pneumatic Pumps,8.7,2017,NG Driven Pneumatic Pumps emissions,Table C.1,78.25,84
